20-Jan-26 18:17:21 - Created path loss file ./logs/loss_log_20260120181721_.npy.npz
20-Jan-26 18:17:22 - Training model...
20-Jan-26 18:17:31 - Total Steps = 84218
20-Jan-26 18:17:32 - Input Features Shape: torch.Size([30, 4])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - Path Loss Shape: torch.Size([30])
20-Jan-26 18:17:32 - extra_features_tokens.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - score.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - hidden1.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - pooled_score.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - hidden2.shape torch.Size([30, 2000])
20-Jan-26 18:17:32 - logits.shape torch.Size([30, 1])
20-Jan-26 18:43:09 - [Epoch=1 | Step=6700/84218] loss=0.0007
20-Jan-26 18:43:35 - [Epoch=1 | Step=6800/84218] loss=1.0151
20-Jan-26 18:44:01 - [Epoch=1 | Step=6900/84218] loss=1.0256
20-Jan-26 18:44:28 - [Epoch=1 | Step=7000/84218] loss=0.0308
20-Jan-26 18:44:55 - [Epoch=1 | Step=7100/84218] loss=0.0439
20-Jan-26 18:45:21 - [Epoch=1 | Step=7200/84218] loss=0.2734
20-Jan-26 18:45:48 - [Epoch=1 | Step=7300/84218] loss=0.0355
20-Jan-26 18:46:14 - [Epoch=1 | Step=7400/84218] loss=0.3239
20-Jan-26 18:46:40 - [Epoch=1 | Step=7500/84218] loss=0.6664
20-Jan-26 18:47:07 - [Epoch=1 | Step=7600/84218] loss=0.4533
20-Jan-26 18:47:33 - [Epoch=1 | Step=7700/84218] loss=0.5785
20-Jan-26 18:47:59 - [Epoch=1 | Step=7800/84218] loss=0.0303
20-Jan-26 18:48:26 - [Epoch=1 | Step=7900/84218] loss=0.4960
20-Jan-26 18:48:53 - [Epoch=1 | Step=8000/84218] loss=0.5735
20-Jan-26 18:49:19 - [Epoch=1 | Step=8100/84218] loss=1.3925
20-Jan-26 18:49:45 - [Epoch=1 | Step=8200/84218] loss=0.1350
20-Jan-26 18:50:12 - [Epoch=1 | Step=8300/84218] loss=0.0171
20-Jan-26 18:50:38 - [Epoch=1 | Step=8400/84218] loss=0.4378
20-Jan-26 18:51:05 - [Epoch=1 | Step=8500/84218] loss=0.3538
20-Jan-26 18:51:31 - [Epoch=1 | Step=8600/84218] loss=0.1176
20-Jan-26 18:51:57 - [Epoch=1 | Step=8700/84218] loss=0.0980
20-Jan-26 18:52:24 - [Epoch=1 | Step=8800/84218] loss=0.8699
20-Jan-26 18:52:48 - [Epoch=1 | Step=8900/84218] loss=0.6882
20-Jan-26 18:53:11 - [Epoch=1 | Step=9000/84218] loss=0.0106
20-Jan-26 18:53:34 - [Epoch=1 | Step=9100/84218] loss=0.0551
20-Jan-26 18:53:56 - [Epoch=1 | Step=9200/84218] loss=0.0099
20-Jan-26 18:54:19 - [Epoch=1 | Step=9300/84218] loss=1.0648
20-Jan-26 18:54:41 - [Epoch=1 | Step=9400/84218] loss=0.6391
20-Jan-26 18:55:04 - [Epoch=1 | Step=9500/84218] loss=1.8258
20-Jan-26 18:55:27 - [Epoch=1 | Step=9600/84218] loss=1.4437
20-Jan-26 18:55:50 - [Epoch=1 | Step=9700/84218] loss=0.0075
20-Jan-26 18:56:12 - [Epoch=1 | Step=9800/84218] loss=0.0002
20-Jan-26 18:56:35 - [Epoch=1 | Step=9900/84218] loss=0.5675
20-Jan-26 18:56:58 - [Epoch=1 | Step=10000/84218] loss=0.0370
20-Jan-26 18:57:21 - [Epoch=1 | Step=10100/84218] loss=0.2244
20-Jan-26 18:57:44 - [Epoch=1 | Step=10200/84218] loss=0.1961
20-Jan-26 18:58:05 - [Epoch=1 | Step=10300/84218] loss=1.1907
20-Jan-26 18:58:27 - [Epoch=1 | Step=10400/84218] loss=0.0315
20-Jan-26 18:58:48 - [Epoch=1 | Step=10500/84218] loss=0.0053
20-Jan-26 18:59:10 - [Epoch=1 | Step=10600/84218] loss=0.4240
20-Jan-26 18:59:32 - [Epoch=1 | Step=10700/84218] loss=0.4884
20-Jan-26 18:59:54 - [Epoch=1 | Step=10800/84218] loss=0.0016
20-Jan-26 19:00:16 - [Epoch=1 | Step=10900/84218] loss=1.8836
20-Jan-26 19:00:37 - [Epoch=1 | Step=11000/84218] loss=0.3893
20-Jan-26 19:01:00 - [Epoch=1 | Step=11100/84218] loss=0.8361
20-Jan-26 19:01:22 - [Epoch=1 | Step=11200/84218] loss=1.0187
20-Jan-26 19:01:43 - [Epoch=1 | Step=11300/84218] loss=0.8516
20-Jan-26 19:02:05 - [Epoch=1 | Step=11400/84218] loss=1.9094
20-Jan-26 19:02:26 - [Epoch=1 | Step=11500/84218] loss=0.3307
20-Jan-26 19:02:48 - [Epoch=1 | Step=11600/84218] loss=0.0073
20-Jan-26 19:03:10 - [Epoch=1 | Step=11700/84218] loss=0.0229
20-Jan-26 19:03:32 - [Epoch=1 | Step=11800/84218] loss=1.5687
20-Jan-26 19:03:53 - [Epoch=1 | Step=11900/84218] loss=0.0787
20-Jan-26 19:04:15 - [Epoch=1 | Step=12000/84218] loss=0.0789
20-Jan-26 19:04:36 - [Epoch=1 | Step=12100/84218] loss=0.0109
20-Jan-26 19:04:59 - [Epoch=1 | Step=12200/84218] loss=0.2938
20-Jan-26 19:05:20 - [Epoch=1 | Step=12300/84218] loss=0.0810
20-Jan-26 19:05:41 - [Epoch=1 | Step=12400/84218] loss=0.0137
20-Jan-26 19:06:03 - [Epoch=1 | Step=12500/84218] loss=0.0540
20-Jan-26 19:06:25 - [Epoch=1 | Step=12600/84218] loss=0.1097
20-Jan-26 19:06:46 - [Epoch=1 | Step=12700/84218] loss=1.3695
20-Jan-26 19:07:08 - [Epoch=1 | Step=12800/84218] loss=0.2047
20-Jan-26 19:07:30 - [Epoch=1 | Step=12900/84218] loss=0.2892
20-Jan-26 19:07:51 - [Epoch=1 | Step=13000/84218] loss=0.4955
20-Jan-26 19:08:13 - [Epoch=1 | Step=13100/84218] loss=0.1086
20-Jan-26 19:08:35 - [Epoch=1 | Step=13200/84218] loss=1.0087
20-Jan-26 19:08:56 - [Epoch=1 | Step=13300/84218] loss=0.0007
20-Jan-26 19:09:18 - [Epoch=1 | Step=13400/84218] loss=0.0010
20-Jan-26 19:09:39 - [Epoch=1 | Step=13500/84218] loss=0.0007
20-Jan-26 19:10:00 - [Epoch=1 | Step=13600/84218] loss=0.0083
20-Jan-26 19:10:22 - [Epoch=1 | Step=13700/84218] loss=0.0111
20-Jan-26 19:10:44 - [Epoch=1 | Step=13800/84218] loss=0.0013
20-Jan-26 19:11:05 - [Epoch=1 | Step=13900/84218] loss=0.1839
20-Jan-26 19:11:26 - [Epoch=1 | Step=14000/84218] loss=0.0001
20-Jan-26 19:11:48 - [Epoch=1 | Step=14100/84218] loss=0.2075
20-Jan-26 19:12:09 - [Epoch=1 | Step=14200/84218] loss=0.3429
20-Jan-26 19:12:30 - [Epoch=1 | Step=14300/84218] loss=0.0174
20-Jan-26 19:12:52 - [Epoch=1 | Step=14400/84218] loss=0.0382
20-Jan-26 19:13:13 - [Epoch=1 | Step=14500/84218] loss=0.9567
20-Jan-26 19:13:35 - [Epoch=1 | Step=14600/84218] loss=0.7511
20-Jan-26 19:13:57 - [Epoch=1 | Step=14700/84218] loss=0.0683
20-Jan-26 19:14:19 - [Epoch=1 | Step=14800/84218] loss=0.1034
20-Jan-26 19:14:40 - [Epoch=1 | Step=14900/84218] loss=0.0075
20-Jan-26 19:15:02 - [Epoch=1 | Step=15000/84218] loss=0.0955
20-Jan-26 19:15:23 - [Epoch=1 | Step=15100/84218] loss=0.0300
20-Jan-26 19:15:44 - [Epoch=1 | Step=15200/84218] loss=0.0291
20-Jan-26 19:16:06 - [Epoch=1 | Step=15300/84218] loss=0.0102
20-Jan-26 19:16:27 - [Epoch=1 | Step=15400/84218] loss=0.0066
20-Jan-26 19:16:49 - [Epoch=1 | Step=15500/84218] loss=0.9536
20-Jan-26 19:17:11 - [Epoch=1 | Step=15600/84218] loss=0.6889
20-Jan-26 19:17:32 - [Epoch=1 | Step=15700/84218] loss=0.1120
20-Jan-26 19:17:54 - [Epoch=1 | Step=15800/84218] loss=0.0000
20-Jan-26 19:18:15 - [Epoch=1 | Step=15900/84218] loss=0.0335
20-Jan-26 19:18:37 - [Epoch=1 | Step=16000/84218] loss=0.0001
20-Jan-26 19:18:59 - [Epoch=1 | Step=16100/84218] loss=0.0000
20-Jan-26 19:19:20 - [Epoch=1 | Step=16200/84218] loss=0.0399
20-Jan-26 19:19:42 - [Epoch=1 | Step=16300/84218] loss=0.0023
20-Jan-26 19:20:03 - [Epoch=1 | Step=16400/84218] loss=0.9553
20-Jan-26 19:20:25 - [Epoch=1 | Step=16500/84218] loss=0.8038
20-Jan-26 19:20:46 - [Epoch=1 | Step=16600/84218] loss=0.0750
20-Jan-26 19:21:08 - [Epoch=1 | Step=16700/84218] loss=0.1255
20-Jan-26 19:21:30 - [Epoch=1 | Step=16800/84218] loss=0.1532
20-Jan-26 19:21:51 - [Epoch=1 | Step=16900/84218] loss=0.0077
20-Jan-26 19:22:12 - [Epoch=1 | Step=17000/84218] loss=0.6220
20-Jan-26 19:22:34 - [Epoch=1 | Step=17100/84218] loss=0.0007
