21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 10:41:40 - [Epoch=1 | Step=6700/84218] loss=0.0054
21-Jan-26 10:42:01 - [Epoch=1 | Step=6800/84218] loss=0.0159
21-Jan-26 10:42:24 - [Epoch=1 | Step=6900/84218] loss=0.1027
21-Jan-26 10:42:46 - [Epoch=1 | Step=7000/84218] loss=0.1145
21-Jan-26 10:43:07 - [Epoch=1 | Step=7100/84218] loss=0.0549
21-Jan-26 10:43:30 - [Epoch=1 | Step=7200/84218] loss=0.8948
21-Jan-26 10:43:52 - [Epoch=1 | Step=7300/84218] loss=0.0658
21-Jan-26 10:44:15 - [Epoch=1 | Step=7400/84218] loss=0.1363
21-Jan-26 10:44:37 - [Epoch=1 | Step=7500/84218] loss=0.0080
21-Jan-26 10:44:59 - [Epoch=1 | Step=7600/84218] loss=0.4610
21-Jan-26 10:45:20 - [Epoch=1 | Step=7700/84218] loss=0.1385
21-Jan-26 10:45:42 - [Epoch=1 | Step=7800/84218] loss=0.0224
21-Jan-26 10:46:04 - [Epoch=1 | Step=7900/84218] loss=0.3703
21-Jan-26 10:46:26 - [Epoch=1 | Step=8000/84218] loss=0.0147
21-Jan-26 10:46:48 - [Epoch=1 | Step=8100/84218] loss=0.5907
21-Jan-26 10:47:11 - [Epoch=1 | Step=8200/84218] loss=0.0166
21-Jan-26 10:47:34 - [Epoch=1 | Step=8300/84218] loss=0.0452
21-Jan-26 10:47:57 - [Epoch=1 | Step=8400/84218] loss=0.4795
21-Jan-26 10:48:19 - [Epoch=1 | Step=8500/84218] loss=0.2924
21-Jan-26 10:48:42 - [Epoch=1 | Step=8600/84218] loss=0.1555
21-Jan-26 10:49:05 - [Epoch=1 | Step=8700/84218] loss=0.0868
21-Jan-26 10:49:28 - [Epoch=1 | Step=8800/84218] loss=0.5916
21-Jan-26 10:49:51 - [Epoch=1 | Step=8900/84218] loss=0.6763
21-Jan-26 10:50:14 - [Epoch=1 | Step=9000/84218] loss=0.0432
21-Jan-26 10:50:37 - [Epoch=1 | Step=9100/84218] loss=0.0934
21-Jan-26 10:51:00 - [Epoch=1 | Step=9200/84218] loss=0.0044
21-Jan-26 10:51:23 - [Epoch=1 | Step=9300/84218] loss=0.0777
21-Jan-26 10:51:46 - [Epoch=1 | Step=9400/84218] loss=0.0078
21-Jan-26 10:52:09 - [Epoch=1 | Step=9500/84218] loss=0.5795
21-Jan-26 10:52:32 - [Epoch=1 | Step=9600/84218] loss=1.0367
21-Jan-26 10:52:56 - [Epoch=1 | Step=9700/84218] loss=0.0038
21-Jan-26 10:53:19 - [Epoch=1 | Step=9800/84218] loss=0.0001
21-Jan-26 10:53:42 - [Epoch=1 | Step=9900/84218] loss=0.0833
21-Jan-26 10:54:05 - [Epoch=1 | Step=10000/84218] loss=0.0298
21-Jan-26 10:54:28 - [Epoch=1 | Step=10100/84218] loss=0.6900
21-Jan-26 10:54:51 - [Epoch=1 | Step=10200/84218] loss=0.1017
21-Jan-26 10:55:14 - [Epoch=1 | Step=10300/84218] loss=1.4458
21-Jan-26 10:55:37 - [Epoch=1 | Step=10400/84218] loss=0.4079
21-Jan-26 10:56:00 - [Epoch=1 | Step=10500/84218] loss=0.0770
21-Jan-26 10:56:23 - [Epoch=1 | Step=10600/84218] loss=0.1030
21-Jan-26 10:56:46 - [Epoch=1 | Step=10700/84218] loss=0.5005
